Price,Year,Engine,Distance
12 700 AZN,2008,1.5 L,384 633 km
19 000 AZN,2010,1.8 L,316 656 km
13 900 AZN,2008,1.5 L,175 000 km
12 800 AZN,2007,1.5 L,210 000 km
14 500 AZN,2006,1.5 L,137 000 km
14 500 AZN,2011,1.8 L,140 000 km
12 900 AZN,2008,1.5 L,237 000 km
13 100 AZN,2007,1.5 L,195 300 km
10 900 AZN,2007,1.5 L,239 000 km
12 200 AZN,2008,1.5 L,330 000 km
13 500 AZN,2008,1.5 L,210 000 km
18 200 AZN,2010,1.8 L,115 000 km
13 300 AZN,2008,1.5 L,127 000 km
13 800 AZN,2007,1.5 L,191 000 km
12 400 AZN,2007,1.5 L,257 000 km
13 800 AZN,2007,1.5 L,242 000 km
14 100 AZN,2009,1.5 L,219 000 km
12 900 AZN,2009,1.5 L,182 300 km
13 500 AZN,2009,1.5 L,203 000 km
19 800 AZN,2012,1.8 L,190 466 km
13 300 AZN,2007,1.5 L,140 000 km
18 700 AZN,2012,1.8 L,199 000 km
13 200 AZN,2006,1.5 L,169 000 km
18 300 AZN,2011,1.8 L,234 000 km
18 900 AZN,2011,1.8 L,209 228 km
12 800 AZN,2007,1.5 L,255 000 km
19 000 AZN,2010,1.8 L,316 656 km
15 900 AZN,2009,1.8 L,182 000 km
13 200 AZN,2008,1.5 L,392 680 km
13 800 AZN,2008,1.5 L,188 000 km
13 300 AZN,2007,1.5 L,224 258 km
12 950 AZN,2005,1.5 L,202 900 km
15 400 AZN,2010,1.8 L,236 574 km
10 000 AZN,2007,1.5 L,180 000 km
16 300 AZN,2009,1.8 L,150 000 km
20 800 AZN,2014,1.8 L,191 587 km
13 700 AZN,2008,1.5 L,299 338 km
13 500 AZN,2007,1.5 L,233 000 km
13 700 AZN,2007,1.5 L,209 000 km
9 000 AZN,2009,1.5 L,133 000 km
13 900 AZN,2005,1.5 L,150 000 km
16 300 AZN,2010,1.8 L,159 000 km
10 000 AZN,2007,1.5 L,210 000 km
10 500 AZN,2007,1.5 L,185 000 km
12 500 AZN,2007,1.5 L,259 700 km
14 000 AZN,2008,1.5 L,234 128 km
16 500 AZN,2010,1.8 L,183 000 km
